instance;time;UB;LB;gap;cb_calls;cuts
abs1n5.dat;0.1157;1282.0320;1282.0320;0.0000;31.0000;29.0000
abs2n5.dat;0.1073;1176.8923;1176.8923;0.0000;29.0000;22.0000
abs3n5.dat;0.1271;2022.6735;2022.6735;0.0000;32.0000;25.0000
abs4n5.dat;0.1162;1449.4300;1449.4300;0.0000;32.0000;30.0000
abs5n5.dat;0.0746;1165.1776;1165.1776;0.0000;22.0000;15.0000
abs1n10.dat;0.9957;2168.2383;2168.2383;0.0000;193.0000;125.0000
abs2n10.dat;0.9145;2510.1300;2510.0963;0.0000;138.0000;86.0000
abs3n10.dat;0.9493;2099.6800;2099.6800;0.0000;154.0000;73.0000
abs4n10.dat;0.5605;2187.9954;2187.9954;0.0000;101.0000;68.0000
abs5n10.dat;1.0651;2178.1500;2178.1500;0.0000;217.0000;124.0000
abs1n15.dat;14.9817;2236.5594;2236.3734;0.0001;1154.0000;491.0000
abs2n15.dat;10.1976;2506.2100;2506.1091;0.0000;875.0000;409.0000
abs3n15.dat;8.0891;2841.2967;2841.2967;0.0000;430.0000;188.0000
abs4n15.dat;13.0344;2429.3639;2429.1759;0.0001;540.0000;238.0000
abs5n15.dat;12.5429;2453.5000;2453.3049;0.0001;752.0000;394.0000
abs1n20.dat;261.8429;2793.8858;2793.6520;0.0001;3751.0000;1572.0000
abs2n20.dat;1800.0027;2841.5913;2580.8682;0.0918;7170.0000;2676.0000
abs3n20.dat;180.2009;3101.6000;3101.3046;0.0001;2377.0000;884.0000
abs4n20.dat;456.1736;3239.3100;3239.0010;0.0001;5813.0000;2245.0000
abs5n20.dat;178.1283;3330.9900;3330.6749;0.0001;3126.0000;1245.0000
abs1n25.dat;1800.0045;3926.7804;2393.3241;0.3905;14500.0000;5178.0000
abs2n25.dat;1800.0022;3498.9691;3099.7696;0.1141;9471.0000;3974.0000
abs3n25.dat;737.4352;3481.4500;3481.1134;0.0001;3909.0000;1765.0000
abs4n25.dat;1800.0023;3904.0500;2182.7000;0.4409;15052.0000;5250.0000
abs5n25.dat;1800.0097;3695.9400;3525.7831;0.0460;8324.0000;4114.0000
